id,2_gram,num_2_gram,word_ 1,word_ 2,final_word,num_final_word
141,stagger stunned,1,stagger,stunned,stunned,1
142,struck intolerably,1,struck,intolerably,intolerably,1
143,stunned in,1,stunned,in,in,5
144,such a,1,such,a,a,5
145,suddenly struck,1,suddenly,struck,struck,1
146,suitor ENDLINE,1,suitor,ENDLINE,ENDLINE,29
147,swearing fist,1,swearing,fist,fist,1
148,that no,1,that,no,no,1
149,that the,1,that,the,the,12
150,the air,1,the,air,air,1
151,the birds,1,the,birds,birds,1
152,the cold,1,the,cold,cold,1
153,the disorder,1,the,disorder,disorder,1
154,the heart,1,the,heart,heart,1
155,the idiots,1,the,idiots,idiots,1
156,the irregular,1,the,irregular,irregular,1
157,the leaves,1,the,leaves,leaves,1
158,the mutinous,1,the,mutinous,mutinous,1
159,the petals,1,the,petals,petals,1
160,the spring,1,the,spring,spring,1
161,the whole,1,the,whole,whole,1
162,then ENDLINE,1,then,ENDLINE,ENDLINE,29
163,this picky,1,this,picky,picky,1
164,this tumult,1,this,tumult,tumult,1
165,threat ENDLINE,1,threat,ENDLINE,ENDLINE,29
166,through a,1,through,a,a,5
167,through the,1,through,the,the,12
168,to break,1,to,break,break,1
169,to cast,1,to,cast,cast,1
170,tumult she,1,tumult,she,she,5
171,turbulent enough,1,turbulent,enough,enough,1
172,unbalance the,1,unbalance,the,the,12
173,unbearable betrayal,1,unbearable,betrayal,betrayal,1
174,uneven ENDLINE,1,uneven,ENDLINE,ENDLINE,29
175,up ENDLINE,1,up,ENDLINE,ENDLINE,29
176,variegation ENDLINE,1,variegation,ENDLINE,ENDLINE,29
177,vulgar variegation,1,vulgar,variegation,variegation,1
178,walk in,1,walk,in,in,5
179,wandering uneven,1,wandering,uneven,uneven,1
180,was suddenly,1,was,suddenly,suddenly,1
181,well circumscribed,1,well,circumscribed,circumscribed,1
182,white and,1,white,and,and,7
183,whole season,1,whole,season,season,2
184,winter then,1,winter,then,then,1
185,wire ENDLINE,1,wire,ENDLINE,ENDLINE,29
186,with his,1,with,his,his,3
187,withdrew skillfully,1,withdrew,skillfully,skillfully,1
